English,Russian
William,Уильям
quickly,быстро
companies,компании
programs,программы
products,продукты
direct,прямой
site,сайт
sources,источники
previous,предыдущий
technology,технология
battle,боевой
front,передний
provides,обеспечивает
necessary,необходимый
served,служил
originally,первоначально
along,вдоль
with,с
approach,подход
image,изображение
seven,Семь
experience,опыт
Greek,греческий
parts,части
of,из
text,текст
towards,к
completed,завершенный
memory,память
ability,способность
commercial,коммерческий
UK,Великобритания
health,здоровье
replaced,заменен
worked,работал
yet,еще
start,начинать
economy,экономика
highest,самый высокий
property,свойство
behind,позади
knowledge,знание
test,тест
response,ответ
largely,в значительной степени
sea,море
reached,достиг
president,президент
wide,широкий
night,ночь
operations,операции
supported,поддерживается
act,действовать
training,обучение
reason,причина
Britain,Британия
list,список
issues,проблемы
occur,происходить
loss,потеря
the,то
government,правительство
reduced,уменьшенный
active,активный
functions,функции
remain,оставаться
lack,недостаток
to,к
do,делать
clear,прозрачный
gas,газ
island,остров
cells,клетки
taking,принимая
contains,содержит
takes,принимает
approximately,примерно
exist,существовать
basis,основа
distance,расстояние
independent,независимый
intended,намеревался
elected,избранный
product,продукт
adopted,усыновленный
actually,на самом деле
wife,жена
ended,закончился
born,рожденный
Christian,Кристиан
keep,держать
potential,потенциал
course,курс
matter,иметь значение
love,любовь
issue,проблема
objects,объекты
things,вещи
heavy,тяжелый
oil,масло
center,центр
regular,обычный
George,Джордж
the,то
following,следующий
divided,разделенный
eight,восемь
date,дата
James,Джеймс
summer,лето
direction,направление
laws,законы
numerous,многочисленные
account,счет
income,доход
individuals,индивидуумы
concept,концепция
plan,план
announced,объявлено
Russian,Русский
failed,неуспешный
applied,применяемый
values,ценности
northern,северный
proposed,предложенный
ships,корабли
resulting,в результате
estimated,оцененный
appears,появляется
continue,продолжать
Canada,Канада
red,красный
married,женатый
object,объект
studies,исследования
media,СМИ
engine,двигатель
passed,прошедший
Henry,Генри
Australia,Австралия
machine,машина
quality,качество
founded,основан
hold,держать
say,сказать
parties,вечеринки
letter,письмо
Japan,Япония
expected,ожидал
treatment,уход
normal,нормальный
signal,сигнал
blood,кровь
financial,финансовый
status,статус
video,видео
older,старше
carried,унесенный
compared,сравнил
know,знать
wanted,в розыске
accepted,принял
via,с помощью
read,читать
each,каждый
other,другой
types,типы
of,из
animals,животные
turned,повернулся
unit,единица
feature,особенность
southern,южный
increasing,увеличивается
met,встретил
prevent,предотвращать
songs,песни
applications,приложения
require,требовать
opened,открылся
marriage,свадьба
contain,содержать
equipment,оборудование
playing,играя
section,раздел
remaining,оставшийся
properties,характеристики
asked,спросил
the,то
case,случай
ten,десять
Charles,Чарльз
activity,активность
whom,кому
ways,пути
buildings,здания
basic,базовый
probably,вероятно
running,бег
materials,материалы
stories,истории
edition,версия
location,расположение
noted,отмеченный
cell,клетка
analysis,анализ
Russia,Россия
Rome,Рим
removed,удаленный
becomes,становится
paper,бумага
activities,деятельность
billion,миллиард
fall,падать
child,ребенок
cut,резать
operating,операционный
degree,степень
ship,корабль
occurs,происходит
less,меньше
than,чем
novel,роман
completely,полностью
except,кроме
inside,внутри
Robert,Роберт
troops,войска
Jewish,еврейский
report,отчет
call,вызов
flow,поток
metal,металл
appointed,назначен
offered,предложенный
told,сказал
frequency,частота
initial,исходный
campaign,кампания
discovered,обнаруженный
definition,определение
historical,исторический
models,модели
allowing,позволяя
operation,операция
police,полиция
poor,бедный
weight,масса
not,нет
have,иметь
ancient,древний
here,здесь
primarily,в первую очередь
agreed,согласованный
hit,ударять
west,запад
heat,нагревать
security,безопасность
David,Дэйвид
claimed,утверждал
positive,положительный
easily,легко
environment,среда
scientific,научный
going,идущий
regions,регионы
ISBN,ISBN
ball,мяч
tradition,традиция
reach,достигать
requires,требует
St.,Св.
extended,расширенный
charge,заряжать
female,женский
face,лицо
serve,служить
equal,равный
Italy,Италия
letters,письма
refused,отказался
immediately,немедленно
believe,полагать
supply,поставлять
effective,эффективный
internal,внутренний
versions,версии
cultural,культурный
leave,оставлять
th,й
mainly,в основном
negative,отрицательный
soldiers,солдаты
question,вопрос
spread,распространение
suggested,предложенный
Paul,Пол
